username,profile_url,follower_count,found_in_query
mnijungkook,https://www.tiktok.com/@mnijungkook,25M,MN TikTok
jungkook,https://www.tiktok.com/@jungkook,25M,MN TikTok
lourd,https://www.tiktok.com/@lourd,18.9M,Minnesota content creator
lourdasprec,https://www.tiktok.com/@lourdasprec,18.9M,Minnesota content creator
mpl.id.official,https://www.tiktok.com/@mpl.id.official,12.1M,MPLS
pepperonimuffin,https://www.tiktok.com/@pepperonimuffin,8M,Minnesota content creator
msnow,https://www.tiktok.com/@msnow,7.2M,Minnesota snow
ggarmash,https://www.tiktok.com/@ggarmash,6.5M,Minnesota content creator
mplph_official,https://www.tiktok.com/@mplph_official,5.2M,MPLS
heider_realestate,https://www.tiktok.com/@heider_realestate,3.7M,Minnesota real estate
m.toktok,https://www.tiktok.com/@m.toktok,3.4M,MN TikTok
rhegancoursey,https://www.tiktok.com/@rhegancoursey,2.6M,Minnesota influencer
minztiktok_,https://www.tiktok.com/@minztiktok_,2.4M,MN TikTok
smart.doctor,https://www.tiktok.com/@smart.doctor,2.4M,Minnesota doctor
timwalz,https://www.tiktok.com/@timwalz,2.3M,Minneapolis
dbsal1863,https://www.tiktok.com/@dbsal1863,2.2M,MN creator
twincity_official,https://www.tiktok.com/@twincity_official,2M,Twin Cities
twincity,https://www.tiktok.com/@twincity,2M,Twin Cities
irick,https://www.tiktok.com/@irick,2M,Minnesota keto
iricksnacks,https://www.tiktok.com/@iricksnacks,2M,Minnesota keto
barberforever_2,https://www.tiktok.com/@barberforever_2,1.6M,Minnesota barber
vikings,https://www.tiktok.com/@vikings,1.5M,Minnesota TikTok
alyssalauren,https://www.tiktok.com/@alyssalauren,1.5M,Minnesota content creator
5_minutes_fitness,https://www.tiktok.com/@5_minutes_fitness,1.5M,Minnesota fitness coach
timberwolves,https://www.tiktok.com/@timberwolves,1.3M,Minnesota TikTok
thatmidwesternmom,https://www.tiktok.com/@thatmidwesternmom,1.3M,Minnesota mom
mr.kangminhyuk,https://www.tiktok.com/@mr.kangminhyuk,1.3M,MN creator
rep_ilhan,https://www.tiktok.com/@rep_ilhan,1.2M,Minneapolis
hyezzi0801,https://www.tiktok.com/@hyezzi0801,1.2M,MN creator
visittheusa,https://www.tiktok.com/@visittheusa,1.1M,Minnesota travel
twoguystakeonrealestate,https://www.tiktok.com/@twoguystakeonrealestate,888.6K,Minnesota real estate
xtinefit,https://www.tiktok.com/@xtinefit,868.4K,Minnesota fitness coach
dr.mattmcglasson,https://www.tiktok.com/@dr.mattmcglasson,796.3K,Minnesota vet
irinadeaco,https://www.tiktok.com/@irinadeaco,765.3K,Minnesota content creator
ilhanmn,https://www.tiktok.com/@ilhanmn,747.1K,Minnesota fitness
minnesotaheymom,https://www.tiktok.com/@minnesotaheymom,731.6K,Minnesota
minnafashion,https://www.tiktok.com/@minnafashion,696.1K,Minnesota fashion
minna,https://www.tiktok.com/@minna,696K,Minnesota fashion
unreelminnesota,https://www.tiktok.com/@unreelminnesota,648.5K,Minnesota real estate
tonedwithtina,https://www.tiktok.com/@tonedwithtina,483.4K,Minnesota fitness coach
bry.self,https://www.tiktok.com/@bry.self,422.1K,Minnesota content creator
arahvirtucio,https://www.tiktok.com/@arahvirtucio,420.8K,Minnesota vet
azulaminiinfluencer,https://www.tiktok.com/@azulaminiinfluencer,401.6K,Minnesota influencer
creatorsearchinsights127,https://www.tiktok.com/@creatorsearchinsights127,401.2K,Minnesota content creator
contentcreator,https://www.tiktok.com/@contentcreator,374.4K,Minnesota content creator
contentcreatorhuman,https://www.tiktok.com/@contentcreatorhuman,374.4K,Minnesota content creator
hair.stylist81,https://www.tiktok.com/@hair.stylist81,373.2K,Minnesota hair stylist
mnwild,https://www.tiktok.com/@mnwild,357.3K,Minnesota
rokkr_mn,https://www.tiktok.com/@rokkr_mn,346.6K,Minnesota
nashypaws,https://www.tiktok.com/@nashypaws,323.4K,Minnesota TikTok
mplsingapore,https://www.tiktok.com/@mplsingapore,296.8K,MPLS
mspartyyy,https://www.tiktok.com/@mspartyyy,290.4K,Minnesota makeup
mnmommytan,https://www.tiktok.com/@mnmommytan,287.3K,MN mom
mntwins,https://www.tiktok.com/@mntwins,279.8K,Minnesota TikTok
fitness15s,https://www.tiktok.com/@fitness15s,266.7K,Minnesota fitness
yassineloranzo,https://www.tiktok.com/@yassineloranzo,263.9K,Minnesota makeup artist
lifeatstpauls,https://www.tiktok.com/@lifeatstpauls,253.2K,St Paul Minnesota
highland.fashion7,https://www.tiktok.com/@highland.fashion7,251.6K,Minnesota fashion
house_for_sale,https://www.tiktok.com/@house_for_sale,243.2K,Minnesota real estate
huongsununisex,https://www.tiktok.com/@huongsununisex,230.1K,Minnesota boutique
contentcreators02,https://www.tiktok.com/@contentcreators02,222.4K,Minnesota content creator
sghdjezlg89,https://www.tiktok.com/@sghdjezlg89,214.1K,Minnesota comedy
artistic_makeup_queen,https://www.tiktok.com/@artistic_makeup_queen,211.8K,Minnesota makeup artist
minteachersori,https://www.tiktok.com/@minteachersori,202K,Minnesota teacher
entrepreneur,https://www.tiktok.com/@entrepreneur,200.1K,Minnesota entrepreneur
content_creator448,https://www.tiktok.com/@content_creator448,188.3K,Minnesota content creator
minnesotanosdecorazon,https://www.tiktok.com/@minnesotanosdecorazon,178.9K,Minnesota
uofmdanceteam,https://www.tiktok.com/@uofmdanceteam,162.9K,University of Minnesota
amantedasmulheres3,https://www.tiktok.com/@amantedasmulheres3,162.3K,Minnesota comedy
wcconews,https://www.tiktok.com/@wcconews,153.1K,Minnesota TikTok
comedy7164,https://www.tiktok.com/@comedy7164,152.4K,Minnesota comedy
glamcurves,https://www.tiktok.com/@glamcurves,149.3K,Minneapolis creator
riri,https://www.tiktok.com/@riri,145.8K,MPLS
yanggsantos,https://www.tiktok.com/@yanggsantos,145.8K,MPLS
annabgotv,https://www.tiktok.com/@annabgotv,138.2K,Minnesota fashion
annabgotvvlogs,https://www.tiktok.com/@annabgotvvlogs,138.2K,Minnesota fashion
minnesotaspam,https://www.tiktok.com/@minnesotaspam,123.5K,Minnesota
kindpatches_us,https://www.tiktok.com/@kindpatches_us,122.4K,Brooklyn Park Minnesota
madiskarte_2,https://www.tiktok.com/@madiskarte_2,110.5K,Minnesota small business
minnesotalynx,https://www.tiktok.com/@minnesotalynx,104.4K,Minnesota fitness
designsbycaryss,https://www.tiktok.com/@designsbycaryss,103.6K,Minnesota small business
strictlyminnesota,https://www.tiktok.com/@strictlyminnesota,99.5K,Minnesota comedy
fitnesscenter39,https://www.tiktok.com/@fitnesscenter39,94.9K,Minnesota fitness
minnesotas_plug,https://www.tiktok.com/@minnesotas_plug,93.5K,Minnesota influencer
madebylilyz,https://www.tiktok.com/@madebylilyz,92.3K,Minnesota small business
startribune,https://www.tiktok.com/@startribune,90.6K,Minnesota
minsasfamily5,https://www.tiktok.com/@minsasfamily5,83.4K,Minnesota family
mincatfunny,https://www.tiktok.com/@mincatfunny,81.1K,Minnesota cat
thoitrang.minan123,https://www.tiktok.com/@thoitrang.minan123,78.2K,Minnesota fashion
cityminneapolis,https://www.tiktok.com/@cityminneapolis,76.9K,Minneapolis
thebujico,https://www.tiktok.com/@thebujico,75.9K,Minnesota small business
minnesota.motors,https://www.tiktok.com/@minnesota.motors,73.8K,Minnesota entrepreneur
minnesota.news.now,https://www.tiktok.com/@minnesota.news.now,71.9K,Minnesota
minnesotamylf,https://www.tiktok.com/@minnesotamylf,69.1K,Minnesota
live,https://www.tiktok.com/@live,69.1K,Minnesota
highland_daily_life1,https://www.tiktok.com/@highland_daily_life1,66.7K,Minnesota fashion
minnesotasnowmobiles,https://www.tiktok.com/@minnesotasnowmobiles,63.4K,Minnesota snow
syl.mua,https://www.tiktok.com/@syl.mua,60.1K,Minnesota makeup artist
oneal_realestate,https://www.tiktok.com/@oneal_realestate,60.1K,Minnesota real estate
dr.mintesnot,https://www.tiktok.com/@dr.mintesnot,58.7K,Minnesota doctor
chi2wice_official,https://www.tiktok.com/@chi2wice_official,57K,MN creator
spass289,https://www.tiktok.com/@spass289,55.9K,Minnesota comedy
makingitinminnesota,https://www.tiktok.com/@makingitinminnesota,52.9K,Minnesota
therealminnesotacold,https://www.tiktok.com/@therealminnesotacold,51.3K,Minnesota college
minsi_outdoors,https://www.tiktok.com/@minsi_outdoors,51.2K,Minnesota outdoors
pao_minneapolis,https://www.tiktok.com/@pao_minneapolis,50.9K,Minneapolis
eatminnesota,https://www.tiktok.com/@eatminnesota,50K,Minnesota
mnstatefair,https://www.tiktok.com/@mnstatefair,49.6K,Minnesota
minnesotamomma1,https://www.tiktok.com/@minnesotamomma1,48.5K,Minnesota mom
minnesota_jeep_olllllllo,https://www.tiktok.com/@minnesota_jeep_olllllllo,47.9K,Minnesota
evasjewles,https://www.tiktok.com/@evasjewles,47.2K,Minnesota small business
minnesotamami,https://www.tiktok.com/@minnesotamami,46.9K,Minnesota
dogdaysofminnesota,https://www.tiktok.com/@dogdaysofminnesota,45.6K,Minnesota dog
queen_rae,https://www.tiktok.com/@queen_rae,44.6K,Minnesota Twins fan
l.ntrepreneur2.0,https://www.tiktok.com/@l.ntrepreneur2.0,43.5K,Minnesota entrepreneur
dalieustpaulclinic,https://www.tiktok.com/@dalieustpaulclinic,41.2K,St Paul Minnesota
heyguysitsdad,https://www.tiktok.com/@heyguysitsdad,41.1K,Minnesota dad
mspmag,https://www.tiktok.com/@mspmag,40.4K,St Paul Minnesota
pwhl_frost,https://www.tiktok.com/@pwhl_frost,39.3K,Minnesota
kenchiyang,https://www.tiktok.com/@kenchiyang,39.2K,Minnesota comedy
minavett_,https://www.tiktok.com/@minavett_,37.9K,Minnesota vet
lesleytherealtormn,https://www.tiktok.com/@lesleytherealtormn,35.9K,Minnesota realtor
minte.fitnesscoach,https://www.tiktok.com/@minte.fitnesscoach,33.8K,Minnesota fitness coach
