username,profile_url,follower_count,found_in_query
lourd,https://www.tiktok.com/@lourd,18.9M,Minnesota creator local
lourdasprec,https://www.tiktok.com/@lourdasprec,18.9M,Minnesota creator local
savage,https://www.tiktok.com/@savage,17.3M,Savage MN
itsavage,https://www.tiktok.com/@itsavage,17.3M,Savage MN
mpl.id.official,https://www.tiktok.com/@mpl.id.official,12.1M,MPLS
mrstiventc,https://www.tiktok.com/@mrstiventc,10.2M,TC
mrstiventc1977,https://www.tiktok.com/@mrstiventc1977,10.2M,TC
namemnjtv12,https://www.tiktok.com/@namemnjtv12,9.9M,MN
mnctv,https://www.tiktok.com/@mnctv,7.6M,MN
officialmnctv,https://www.tiktok.com/@officialmnctv,7.6M,MN
cost_n_mayor,https://www.tiktok.com/@cost_n_mayor,7.5M,Minnesota choreographer
backpackingkitty,https://www.tiktok.com/@backpackingkitty,6.5M,Minnesota cat owner
medina,https://www.tiktok.com/@medina,6.1M,Medina MN
iammedina.t,https://www.tiktok.com/@iammedina.t,6.1M,Medina MN
mototanya,https://www.tiktok.com/@mototanya,5.9M,Minnesota motorcycle rider
tanechkaozolina,https://www.tiktok.com/@tanechkaozolina,5.9M,Minnesota motorcycle rider
mplph_official,https://www.tiktok.com/@mplph_official,5.2M,MPLS
thegoodhype,https://www.tiktok.com/@thegoodhype,4.5M,Minnesota animal rescue
breiner.diaz.art,https://www.tiktok.com/@breiner.diaz.art,4.4M,Brainerd
aliassafari1,https://www.tiktok.com/@aliassafari1,4M,Minnesota animal rescue
juniperfoxx,https://www.tiktok.com/@juniperfoxx,3.9M,Minnesota animal rescue
westengw,https://www.tiktok.com/@westengw,3.8M,Champlin
heider_realestate,https://www.tiktok.com/@heider_realestate,3.7M,Minnesota real estate agent
zadrigman,https://www.tiktok.com/@zadrigman,3.6M,Minnesota animal rescue
minhnghia13522,https://www.tiktok.com/@minhnghia13522,3.5M,Minne
couture.to.the.max,https://www.tiktok.com/@couture.to.the.max,3.4M,Minnesota fashion model
eliefeghaly7,https://www.tiktok.com/@eliefeghaly7,3.3M,Minnesota real estate agent
yuanactona,https://www.tiktok.com/@yuanactona,3.2M,Minnesota yoga instructor
thesororitygirlz,https://www.tiktok.com/@thesororitygirlz,3.1M,Minnesota digital
saveafox,https://www.tiktok.com/@saveafox,3.1M,Minnesota animal rescue
6ar8o,https://www.tiktok.com/@6ar8o,2.9M,Minnesota real estate agent
ohkaytacos,https://www.tiktok.com/@ohkaytacos,2.9M,Minnesota animal rescue
animalrecue,https://www.tiktok.com/@animalrecue,2.7M,Minnesota animal rescue
smart.doctor,https://www.tiktok.com/@smart.doctor,2.4M,Minnesota doctor
3houses,https://www.tiktok.com/@3houses,2.4M,Minnesota home renovation
timwalz,https://www.tiktok.com/@timwalz,2.3M,Minnesota based
thehaidendeegan,https://www.tiktok.com/@thehaidendeegan,2.3M,Eagan
boxtruckpham,https://www.tiktok.com/@boxtruckpham,2.3M,Minnesota truck guy
biancamndzz,https://www.tiktok.com/@biancamndzz,2.1M,MN
nonaa,https://www.tiktok.com/@nonaa,2.1M,Winona
nownaahh,https://www.tiktok.com/@nownaahh,2.1M,Winona
airabermudez,https://www.tiktok.com/@airabermudez,2.1M,Minnesota dance team
banggri.official,https://www.tiktok.com/@banggri.official,2.1M,Minnesota graphic design
twincity_official,https://www.tiktok.com/@twincity_official,2M,Twin Cities
twincity,https://www.tiktok.com/@twincity,2M,Twin Cities
chaplincharlie01,https://www.tiktok.com/@chaplincharlie01,2M,Champlin
austinmahone,https://www.tiktok.com/@austinmahone,2M,Austin MN
carsonbrown_910,https://www.tiktok.com/@carsonbrown_910,2M,Minnesota motorcycle rider
lexi.diy,https://www.tiktok.com/@lexi.diy,2M,Minnesota home renovation
tctelevisionec,https://www.tiktok.com/@tctelevisionec,1.9M,TC
milivineboutique,https://www.tiktok.com/@milivineboutique,1.9M,Minnesota business owner
pouyayoga,https://www.tiktok.com/@pouyayoga,1.9M,Minnesota yoga instructor
minneirosa,https://www.tiktok.com/@minneirosa,1.8M,Minne
eavanhome,https://www.tiktok.com/@eavanhome,1.8M,Eagan
wellnessbynorah,https://www.tiktok.com/@wellnessbynorah,1.7M,Minnesota pilates instructor
medical.3d,https://www.tiktok.com/@medical.3d,1.6M,Minnesota medical
frenchbulldog.l.ove,https://www.tiktok.com/@frenchbulldog.l.ove,1.6M,Minnesota shelter dog
vikings,https://www.tiktok.com/@vikings,1.5M,Minnesota
kwen_ni,https://www.tiktok.com/@kwen_ni,1.5M,MSP
spt,https://www.tiktok.com/@spt,1.4M,STP
sptmusic1,https://www.tiktok.com/@sptmusic1,1.4M,STP
umitsclaire,https://www.tiktok.com/@umitsclaire,1.4M,Northfield MN
ploykrw,https://www.tiktok.com/@ploykrw,1.4M,Minnesota fitness trainer
kk_3j25,https://www.tiktok.com/@kk_3j25,1.4M,Minnesota influencer local
kiila_home,https://www.tiktok.com/@kiila_home,1.4M,Minnesota camper
dogowner,https://www.tiktok.com/@dogowner,1.4M,Minnesota dog owner
dogowner520,https://www.tiktok.com/@dogowner520,1.4M,Minnesota dog owner
mnuraza,https://www.tiktok.com/@mnuraza,1.3M,MN
timberwolves,https://www.tiktok.com/@timberwolves,1.3M,Minnesota
sky_sittiporn,https://www.tiktok.com/@sky_sittiporn,1.3M,STP
tc_inchina,https://www.tiktok.com/@tc_inchina,1.3M,TC
thatmidwesternmom,https://www.tiktok.com/@thatmidwesternmom,1.3M,Minnesota mom
peachandpumpky,https://www.tiktok.com/@peachandpumpky,1.3M,Minnesota pet owner
animal.rescue63,https://www.tiktok.com/@animal.rescue63,1.3M,Minnesota animal rescue
rep_ilhan,https://www.tiktok.com/@rep_ilhan,1.2M,Minnesota
iammsp1,https://www.tiktok.com/@iammsp1,1.2M,MSP
realmsp,https://www.tiktok.com/@realmsp,1.2M,MSP
winonaaraminta,https://www.tiktok.com/@winonaaraminta,1.2M,Winona
colordanceteam,https://www.tiktok.com/@colordanceteam,1.2M,Minnesota dance team
defie.xmarks,https://www.tiktok.com/@defie.xmarks,1.2M,Minnesota real estate agent
simplenursing,https://www.tiktok.com/@simplenursing,1.2M,Minnesota nurse local
atgweightlifting,https://www.tiktok.com/@atgweightlifting,1.2M,Minnesota weightlifting
alexalouisewilliams,https://www.tiktok.com/@alexalouisewilliams,1.2M,Minnesota crossfit
stephdelmor,https://www.tiktok.com/@stephdelmor,1.2M,Minnesota pilates instructor
potroastsmom,https://www.tiktok.com/@potroastsmom,1.2M,Minnesota kitten
lorintay0,https://www.tiktok.com/@lorintay0,1.2M,Minnesota cat mom
mr_n,https://www.tiktok.com/@mr_n,1.1M,MN
officialmr_n,https://www.tiktok.com/@officialmr_n,1.1M,MN
fanswestenchamplin,https://www.tiktok.com/@fanswestenchamplin,1.1M,Champlin
aloniniyb,https://www.tiktok.com/@aloniniyb,1.1M,Minnesota influencer local
lidiavmera,https://www.tiktok.com/@lidiavmera,1.1M,Minnesota pilates instructor
izzy.samuel,https://www.tiktok.com/@izzy.samuel,1.1M,Minnesota pilates instructor
ministry_of_knowlede,https://www.tiktok.com/@ministry_of_knowlede,1M,Minnesota education
isaiahrodgers,https://www.tiktok.com/@isaiahrodgers,1M,Minnesota hiker
snowymobile2022,https://www.tiktok.com/@snowymobile2022,995.4K,Minnesota snowmobile
movewithnicole,https://www.tiktok.com/@movewithnicole,982.3K,Minnesota pilates instructor
lo3ebozz,https://www.tiktok.com/@lo3ebozz,970.6K,STP
minneninja,https://www.tiktok.com/@minneninja,936K,Minne
dayton,https://www.tiktok.com/@dayton,870.2K,Dayton MN
daytonmodderman,https://www.tiktok.com/@daytonmodderman,870.2K,Dayton MN
lider_estate,https://www.tiktok.com/@lider_estate,865.1K,Minnesota real estate agent
savvyaboutcampers,https://www.tiktok.com/@savvyaboutcampers,863.4K,Minnesota camper
hotseniorpups,https://www.tiktok.com/@hotseniorpups,842.7K,Minnesota dog mom
