channel_name,handle,profile_url,subscriber_count,found_in_query
Twinkies Edits,,https://www.youtube.com/results?search_query=Twinkies+Edits,1000000000000,underrated Minnesota
coonlakeproductions,,https://www.youtube.com/results?search_query=coonlakeproductions,61.8M,Minnesota Polish food
Carolyn Will,,https://www.youtube.com/results?search_query=Carolyn+Will,61.8M,Minnesota auto glass
Dude Perfect,,https://www.youtube.com/results?search_query=Dude+Perfect,61.8M,Minnesota laser tag
Cody Pucks,,https://www.youtube.com/results?search_query=Cody+Pucks,61.8M,Minnesota knights columbus
Century 21 Vista,,https://www.youtube.com/results?search_query=Century+21+Vista,61.8M,Clay County Minnesota
Ellis Love,,https://www.youtube.com/results?search_query=Ellis+Love,38.5M,Minnesota caving
Danielle George,,https://www.youtube.com/results?search_query=Danielle+George,38.5M,Minnesota dive bar
Markiplier,,https://www.youtube.com/results?search_query=Markiplier,38.5M,Minnesota donut shop
emma,,https://www.youtube.com/results?search_query=emma,38.5M,Minnesota sandwich shop
Liminal Case Files,,https://www.youtube.com/results?search_query=Liminal+Case+Files,38.5M,Minnesota dive bar
ian iversen,,https://www.youtube.com/results?search_query=ian+iversen,38.5M,Minnesota sandwich shop
Organic Compound,,https://www.youtube.com/results?search_query=Organic+Compound,22.9M,Minnesota cider making
The Derek Rushlow Show,,https://www.youtube.com/results?search_query=The+Derek+Rushlow+Show,22.5M,Minnesota amusement park
Jackson Smidt,,https://www.youtube.com/results?search_query=Jackson+Smidt,22.5M,Minnesota Spanish class
The Faulty Grimoire,,https://www.youtube.com/results?search_query=The+Faulty+Grimoire,22.5M,Minnesota bath bomb
Shweta Sharma,,https://www.youtube.com/results?search_query=Shweta+Sharma,21.6M,Minnesota hindu
Habitual Linecrosser,,https://www.youtube.com/results?search_query=Habitual+Linecrosser,20M,Minnesota German class
Waconia Public Schools,,https://www.youtube.com/results?search_query=Waconia+Public+Schools,20M,Minnesota German class
WHATS NEW IN MINNESOTA,,https://www.youtube.com/results?search_query=WHATS+NEW+IN+MINNESOTA,19.4M,Minnesota new
New Horizons of Minnesota,,https://www.youtube.com/results?search_query=New+Horizons+of+Minnesota,19.4M,Minnesota new
Minnesota Four Wheel Drive Association,,https://www.youtube.com/results?search_query=Minnesota+Four+Wheel+Drive+Association,19.4M,Minnesota new
The Gamer Ky Show,,https://www.youtube.com/results?search_query=The+Gamer+Ky+Show,18M,Minnesota trampoline park
Esraa Mohamed,,https://www.youtube.com/results?search_query=Esraa+Mohamed,18M,Minnesota skincare DIY
Sisters in Christ,,https://www.youtube.com/results?search_query=Sisters+in+Christ,18M,Minnesota skincare DIY
Leymer Rodriguez,,https://www.youtube.com/results?search_query=Leymer+Rodriguez,17.8M,Minnesota plumber
The Puffy Lion Dog Podcast,,https://www.youtube.com/results?search_query=The+Puffy+Lion+Dog+Podcast,17.8M,Minnesota pet groomer
Hoa Tv,,https://www.youtube.com/results?search_query=Hoa+Tv,17.8M,Minnesota HOA
Strawberry Park,,https://www.youtube.com/results?search_query=Strawberry+Park,17.8M,Minnesota plumber
Tolarian Community College,,https://www.youtube.com/results?search_query=Tolarian+Community+College,17M,Minnesota tutor
CrashCourse,,https://www.youtube.com/results?search_query=CrashCourse,17M,Minnesota tutor
American Legacy,,https://www.youtube.com/results?search_query=American+Legacy,17M,Minnesota Greek food
Bloomington Wellness Center,,https://www.youtube.com/results?search_query=Bloomington+Wellness+Center,17M,Minnesota alignment
positive.inteGer,,https://www.youtube.com/results?search_query=positive.inteGer,17M,Minnesota GED
Tony Schwartz Bodywork LLC,,https://www.youtube.com/results?search_query=Tony+Schwartz+Bodywork+LLC,17M,Minnesota alignment
ParentHelp911,,https://www.youtube.com/results?search_query=ParentHelp911,17M,Minnesota adult education
Pass Your G.E.D. Exam Quickly - GED Exam Prep,,https://www.youtube.com/results?search_query=Pass+Your+G.E.D.+Exam+Quickly+-+GED+Exam+Prep,17M,Minnesota GED
Sam and Colby,,https://www.youtube.com/results?search_query=Sam+and+Colby,15.6M,Minnesota paranormal
natemann133,,https://www.youtube.com/results?search_query=natemann133,15.6M,Pine Springs MN
Archdetect Detecting,,https://www.youtube.com/results?search_query=Archdetect+Detecting,15.6M,Minnesota treasure hunting
Diego Vázquez Jr,,https://www.youtube.com/results?search_query=Diego+Vázquez+Jr,15.6M,Minnesota French class
Minnesota Parent,,https://www.youtube.com/results?search_query=Minnesota+Parent,15.6M,Minnesota Halloween
